x,y,tile_cbf_hz,tile_peak_amp,tile_var,tile_zcr,tile_cbp_sine_score,tile_cbp_amp,video,label,fps,class
480,352,26.71875,47.32249248031839,1.1614659791134372,0.6313725490196078,-0.13849286994634727,1.0777133102608676,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
0,384,3.28125,282.97434006152815,13.156631585493846,0.23921568627450981,0.16512143179941957,3.6272071329735014,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
32,384,4.453125,235.5242643156855,12.287725641611956,0.23137254901960785,-0.36526830125949733,3.5053852344089025,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
64,384,2.34375,342.6497754482256,13.67661462835751,0.2196078431372549,-0.4231872450153334,3.698190723631964,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
96,384,2.109375,226.2670732981727,11.163729177214204,0.1803921568627451,-0.230716000018803,3.3412167210784465,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
128,384,3.28125,239.33102430955134,11.089811552401782,0.27058823529411763,-0.38424335673092413,3.3301368669173015,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
160,384,2.109375,274.9655998941,13.70951684500065,0.20392156862745098,0.1651307923128032,3.702636472164213,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
192,384,4.6875,155.76896521315393,9.599545290092317,0.2784313725490196,0.00566692283567044,3.098313297601183,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
224,384,4.6875,153.06075615337207,8.254738903489825,0.3568627450980392,0.1337830755139592,2.873106142050764,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
256,384,2.34375,95.62118993115524,3.128925776571402,0.3843137254901961,0.06747847523315839,1.7688769817518124,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
288,384,24.375,44.36451444394017,1.3727372230699977,0.5764705882352941,-0.03877268715099223,1.171638691350707,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
320,384,24.84375,45.59002824349426,1.1019226258677197,0.592156862745098,-0.04977514091891908,1.049725023931372,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
352,384,26.71875,46.150430423163705,1.075310056299538,0.6,-0.14538998232908884,1.03697157931138,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
384,384,26.71875,46.6504727712144,1.2458627719098454,0.6313725490196078,-0.13920024110014256,1.1161822306011888,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
416,384,26.71875,47.098090075932895,1.2971860442752898,0.611764705882353,-0.13030336425012912,1.1389407553842692,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
448,384,26.71875,48.80006902154683,1.3178130234360381,0.611764705882353,-0.14296500479252258,1.1479603753771461,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
480,384,26.71875,48.0496774459853,1.235309955547013,0.6235294117647059,-0.13780364152351626,1.1114449853892963,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
0,416,3.28125,351.0197389650858,20.957152876821922,0.1568627450980392,-0.15523272152911238,4.577898303459998,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
32,416,2.34375,432.1264731592554,30.947984402366234,0.1803921568627451,-0.29172912907780446,5.563091263170706,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
64,416,2.109375,272.08831621621175,12.410576570157078,0.22745098039215686,-0.38737322075966285,3.522864824281096,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
96,416,3.28125,365.02066896849146,19.132731382607435,0.2,0.44502767814741034,4.374097779269165,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
128,416,3.515625,454.95457676304335,28.234850557887377,0.16862745098039217,0.36841571704871123,5.3136475756195365,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
160,416,3.046875,468.23557151486096,27.035369454032377,0.16470588235294117,0.12777028511294022,5.199554736131968,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
192,416,3.046875,195.49264180658568,7.990198500232097,0.3176470588235294,-0.04396138210502758,2.8266939169694507,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
224,416,3.046875,72.56308015970943,2.0839316977574907,0.43529411764705883,-0.24703953215188856,1.4435829376095752,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
256,416,26.71875,46.30251120383227,1.3632066220616654,0.5607843137254902,-0.13457750328602774,1.1675643973938505,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
288,416,26.71875,45.218475373153275,1.099802377854695,0.615686274509804,-0.14923902733542965,1.048714631277115,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
320,416,26.71875,44.7562831964483,1.0662773360385853,0.6392156862745098,-0.14074193002379298,1.0326070579066295,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
352,416,26.71875,46.6968179761931,1.1545899052923847,0.5882352941176471,-0.15552358551804274,1.0745184527463383,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
384,416,26.71875,46.20167134428388,1.122196950933073,0.592156862745098,-0.1463862049918179,1.0593379776695788,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
416,416,26.71875,46.57256953275189,1.2317580866150983,0.592156862745098,-0.14198139140831495,1.1098459742753037,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
448,416,26.71875,44.86207946710311,1.307459504259335,0.592156862745098,-0.1371940595169477,1.1434419549147805,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
480,416,26.71875,48.63093102636785,1.1779878288111216,0.6235294117647059,-0.16003491280198595,1.0853514770852444,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
0,448,2.109375,418.44971170092043,25.010261448812507,0.17647058823529413,-0.20475009666186184,5.001026039605524,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
32,448,3.28125,353.6592773608468,19.525470914056108,0.2,0.43339600750354046,4.418763505105937,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
64,448,4.453125,312.9690722149146,20.176840954115384,0.19215686274509805,-0.14105799331156937,4.491863861930299,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
96,448,2.34375,278.6372141300793,18.53620602235544,0.2196078431372549,0.016664390904548562,4.305369440867467,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
128,448,3.75,145.7873769061874,8.117565178274312,0.3137254901960784,-0.1346126766901778,2.8491341102647856,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
160,448,3.046875,81.31703540743015,2.7707620707748593,0.4117647058823529,-0.19420808094166964,1.6645606239410025,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
192,448,3.046875,56.90187609736429,1.5455620812795754,0.5372549019607843,0.0021592589553865796,1.243206371154675,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
224,448,2.578125,58.930736897481246,1.5023278321793425,0.48627450980392156,-0.24687280349487767,1.225694836482288,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
256,448,26.71875,51.48286555940248,1.3371234546481823,0.5294117647058824,-0.14810020434063664,1.1563405444107642,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
288,448,26.71875,49.061354144133006,1.122420397817245,0.6,-0.1415899748590142,1.0594434377621322,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
320,448,26.71875,49.51023119788047,1.1300891206982837,0.611764705882353,-0.14706128395588142,1.063056499297325,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
352,448,26.71875,48.403690895103104,1.17829728007258,0.5764705882352941,-0.15022926499050174,1.0854940258115564,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
384,448,26.71875,47.96517158177685,1.2622324779259935,0.5607843137254902,-0.13546976378190378,1.1234912006446662,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
416,448,2.34375,54.33452446896453,1.5775109773268299,0.4980392156862745,-0.2353896085669648,1.2559900387052558,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
448,448,26.71875,48.96467605383591,1.44506315817369,0.5411764705882353,-0.13385824944436986,1.2021077980670827,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
